,Position,Track Name,Artist,Streams,URL,Date,Region
32,33,Bailame Despacio,Xantos,5160,https://open.spotify.com/track/4OaTpLJIa2harufGxfOPUu,2017-01-01,ec
33,34,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,5025,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,2017-01-01,ec
34,35,Hasta el Amanecer,Nicky Jam,5001,https://open.spotify.com/track/5Fim1gaXBgsiFfsQAfQSDS,2017-01-01,ec
35,36,Cold Water (feat. Justin Bieber & MØ),Major Lazer,4933,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-01-01,ec
36,37,Bobo,J Balvin,4781,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6,2017-01-01,ec
37,38,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,4644,https://open.spotify.com/track/2SSYqDX8KTgy01NlqtUo0F,2017-01-01,ec
38,39,In the Name of Love,Martin Garrix,4609,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-01,ec
39,40,Don't Let Me Down,The Chainsmokers,4379,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,2017-01-01,ec
40,41,Cheap Thrills,Sia,4300,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,2017-01-01,ec
41,42,Fuego,Juanes,4286,https://open.spotify.com/track/0mwPE0lPOgnWf2bo14xedJ,2017-01-01,ec
42,43,Tan Fácil,CNCO,4205,https://open.spotify.com/track/1TxgZRcy3kZ7JaEp88MDbC,2017-01-01,ec
43,44,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,4103,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,ec
44,45,Treat You Better,Shawn Mendes,3941,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2017-01-01,ec
45,46,Enamorándonos,Cabas,3734,https://open.spotify.com/track/0aywfeIr0tmhLZJxzqOhzP,2017-01-01,ec
46,47,Te Vas,Ozuna,3721,https://open.spotify.com/track/2twUPIYOTqVivev47pf7bU,2017-01-01,ec
47,48,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,3467,https://open.spotify.com/track/4vlbjBSMqycZk6t4HVRpnC,2017-01-01,ec
48,49,Te Quiero Pa´Mi,Don Omar,3467,https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz,2017-01-01,ec
49,50,Heathens,Twenty One Pilots,3376,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,2017-01-01,ec
50,51,Hasta Que Se Seque el Malecón - Remix,Jacob Forever,3368,https://open.spotify.com/track/6sMPwcpYtxm1mlgYbp1B0t,2017-01-01,ec
51,52,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Farruko,3356,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1,2017-01-01,ec
52,53,Deja Que Te Bese,Alejandro Sanz,3321,https://open.spotify.com/track/0s6yB0ZFl1LvYHAnGhXFga,2017-01-01,ec
53,54,Side To Side,Ariana Grande,3275,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2017-01-01,ec
54,55,Manicomio,Cosculluela,3180,https://open.spotify.com/track/3n58u3LOFw8mITLvfPvQBz,2017-01-01,ec
55,56,Ruleta Rusa,Kevin Roldan,3085,https://open.spotify.com/track/77KHmKnBmVGTjRCeMVXpWH,2017-01-01,ec
56,57,I Feel It Coming,The Weeknd,3022,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-01,ec
57,58,Ginza,J Balvin,3005,https://open.spotify.com/track/5N8nNuTmIzkZOfcxXlygUw,2017-01-01,ec
58,59,Work,Rihanna,2967,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v,2017-01-01,ec
59,60,Cake By The Ocean,DNCE,2955,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl,2017-01-01,ec
60,61,Picky,Joey Montana,2922,https://open.spotify.com/track/4tPL9PeVZY4c0jUPtSD5nx,2017-01-01,ec
61,62,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,2863,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT,2017-01-01,ec
62,63,This Is What You Came For,Calvin Harris,2860,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,2017-01-01,ec
63,64,Bailando - Spanish Version,Enrique Iglesias,2817,https://open.spotify.com/track/32lm3769IRfcnrQV11LO4E,2017-01-01,ec
64,65,Corazon De Seda (feat. Ozuna),Klasico,2815,https://open.spotify.com/track/0uRHot8ml8U8cYVwwzMwNT,2017-01-01,ec
65,66,El Perdón,Nicky Jam,2801,https://open.spotify.com/track/7qCAVkHWZkF44OzOUKf8Cr,2017-01-01,ec
66,67,El Perdedor,Maluma,2684,https://open.spotify.com/track/1iEwyiSLAunPR6uouANE0O,2017-01-01,ec
67,68,Traicionera - Remix,Sebastian Yatra,2663,https://open.spotify.com/track/2webQDZmtGioeu3zUUi9We,2017-01-01,ec
68,69,Encantadora,Yandel,2611,https://open.spotify.com/track/7LABrQFfRYcZUqUwng0Heb,2017-01-01,ec
69,70,Ride,Twenty One Pilots,2604,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,2017-01-01,ec
70,71,Love Yourself,Justin Bieber,2581,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT,2017-01-01,ec
71,72,Encantadora - Remix,Yandel,2554,https://open.spotify.com/track/0EpFfFZpCuqYFzHvxOtrZS,2017-01-01,ec
72,73,Materialista,Silvestre Dangond,2493,https://open.spotify.com/track/3jqSBJ8I20iUN0Bw8NA5xQ,2017-01-01,ec
73,74,Me Voy Enamorando - Remix,Chino & Nacho,2482,https://open.spotify.com/track/0nfBKG11Wv2bK8cPjMU5VB,2017-01-01,ec
74,75,Vivir Mi Vida,Marc Anthony,2446,https://open.spotify.com/track/3QHMxEOAGD51PDlbFPHLyJ,2017-01-01,ec
75,76,Faded,Alan Walker,2442,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,2017-01-01,ec
76,77,Work from Home,Fifth Harmony,2440,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,2017-01-01,ec
77,78,El Perdedor - The Remix,Maluma,2429,https://open.spotify.com/track/4QsPTKvdpgkA7mBAvclZTa,2017-01-01,ec
78,79,Stressed Out,Twenty One Pilots,2370,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,2017-01-01,ec
79,80,De Pies a Cabeza,Maná,2351,https://open.spotify.com/track/2CkHE54EH44Qj945ynQRw7,2017-01-01,ec
80,81,Quisiera,CNCO,2347,https://open.spotify.com/track/4iPV0gcc8keTFl6qxqP73M,2017-01-01,ec
81,82,Te Busco (feat. Nicky Jam),Cosculluela,2330,https://open.spotify.com/track/6wHm04cn5HxK6pE2ITEdUS,2017-01-01,ec
82,83,Perfect Strangers,Jonas Blue,2329,https://open.spotify.com/track/5bZtRlMBU76vHuDOb1GM5u,2017-01-01,ec
83,84,Hymn For The Weekend - Seeb Remix,Coldplay,2327,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-01,ec
84,85,El Chisme,Reykon,2312,https://open.spotify.com/track/4VXejnj5WgM6H72ct2fSgQ,2017-01-01,ec
85,86,Noche Loca,Marama,2304,https://open.spotify.com/track/0gzcET27nREY6aD8LJU9wD,2017-01-01,ec
86,87,La Bicicleta - Remix,Carlos Vives,2292,https://open.spotify.com/track/7IRuf7FrdQvOGs0g9mSNGr,2017-01-01,ec
87,88,La Mordidita,Ricky Martin,2290,https://open.spotify.com/track/00i0O74dXdaKKdCrqHnfXm,2017-01-01,ec
88,89,"La Ocasion (feat. Arcangel, Ozuna & Anuel Aa)",De La Ghetto,2218,https://open.spotify.com/track/498YWgZPJWIA4lphXtCNma,2017-01-01,ec
89,90,Sin Contrato,Maluma,2212,https://open.spotify.com/track/09S64DUkxIX9EwIaULu6yN,2017-01-01,ec
90,91,Locuras contigo,Rombai,2212,https://open.spotify.com/track/5jMvnSyOgGY8JpvHqeyVOg,2017-01-01,ec
91,92,Mi Tesoro (feat. Nicky Jam),Zion & Lennox,2202,https://open.spotify.com/track/5HABnFSYvl6mTmg8nSdzHa,2017-01-01,ec
92,93,Trumpets,Sak Noel & Salvi,2183,https://open.spotify.com/track/5dH7o4TP3HYLvCjo4QAhhv,2017-01-01,ec
93,94,Me Rehúso,Danny Ocean,2175,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2017-01-01,ec
94,95,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,2165,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,2017-01-01,ec
95,96,Nota de Amor,Wisin,2150,https://open.spotify.com/track/4YW2Fr25fHwUt6qgvM1iE1,2017-01-01,ec
96,97,Me Ama Me Odia,Ozuna,2140,https://open.spotify.com/track/6041gM9Th1ViQcnzkIxnuv,2017-01-01,ec
97,98,Valió la Pena - Salsa Version,Marc Anthony,2135,https://open.spotify.com/track/0ueJesXdxikucezsJr2ejB,2017-01-01,ec
98,99,Me llamas,Piso 21,2109,https://open.spotify.com/track/3jpqMaJREkmVDYlRvW1qWC,2017-01-01,ec
99,100,Time of Our Lives,Pitbull,2101,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r,2017-01-01,ec
100,1,One Dance,Drake,89403,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-01,fr
101,2,Starboy,The Weeknd,80882,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,fr
102,3,24K Magic,Bruno Mars,80838,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-01,fr
103,4,My Way,Calvin Harris,72133,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,2017-01-01,fr
104,5,Mauvaise graine,Nekfeu,71082,https://open.spotify.com/track/4kKJ5CjwCtksszPMntho4N,2017-01-01,fr
105,6,Squa,Nekfeu,70542,https://open.spotify.com/track/11hj8c8BCRd5ND3CRhZSvt,2017-01-01,fr
106,7,Let Me Love You,DJ Snake,69647,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,fr
107,8,Afro Trap Pt. 7 (La puissance),MHD,62394,https://open.spotify.com/track/6x8j5V85ZJHtvOSjSamcVc,2017-01-01,fr
108,9,Black Beatles,Rae Sremmurd,60080,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-01,fr
109,10,Tchoin,Kaaris,59226,https://open.spotify.com/track/0ban5QRXUveaKtQPGuaoQ9,2017-01-01,fr
110,11,Sunset Lover,Petit Biscuit,58821,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,2017-01-01,fr
111,12,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,58735,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,fr
112,13,Saturne,Nekfeu,58270,https://open.spotify.com/track/5t9fmZx0pcNxLykKTv6eOe,2017-01-01,fr
113,14,Tchikita,Jul,56744,https://open.spotify.com/track/6bXd0YhKLCTvlLVc4tErH9,2017-01-01,fr
114,15,Onizuka,PNL,56545,https://open.spotify.com/track/4GCIYE1x1TWJCChPkpy9by,2017-01-01,fr
115,16,Lordly (feat. Alex Aiono),Feder,55745,https://open.spotify.com/track/6c12fBpCtuVIq8OFxT0A3S,2017-01-01,fr
116,17,Pop Corn,Boostee,54892,https://open.spotify.com/track/6FK7DCwcQWWWG9VAT6ZGvz,2017-01-01,fr
117,18,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,54286,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,2017-01-01,fr
118,19,Human,Rag'n'Bone Man,53830,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O,2017-01-01,fr
119,20,DKR,Booba,53653,https://open.spotify.com/track/1iDQ2zCOU1uYeR8QcpqUZb,2017-01-01,fr
120,21,Ride,Twenty One Pilots,53226,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,2017-01-01,fr
121,22,I Feel It Coming,The Weeknd,52113,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-01,fr
122,23,Heathens,Twenty One Pilots,51884,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,2017-01-01,fr
123,24,Lush Life,Zara Larsson,51117,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8,2017-01-01,fr
124,25,Don't Wanna Know,Maroon 5,50895,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-01,fr
125,26,Aloha,Møme,50720,https://open.spotify.com/track/6HViP4DVYa8gQtxLndmhwu,2017-01-01,fr
126,27,Cheap Thrills,Sia,50556,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,2017-01-01,fr
127,28,Closer,The Chainsmokers,50520,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,fr
128,29,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,50021,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,2017-01-01,fr
129,30,Work from Home,Fifth Harmony,49229,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,2017-01-01,fr
130,31,The Ocean,Mike Perry,48424,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv,2017-01-01,fr
131,32,Heal Tomorrow,Naïve New Beaters,47997,https://open.spotify.com/track/4J6xvZhJh26lmAEAXGDCKu,2017-01-01,fr
132,33,Ain't Your Mama,Jennifer Lopez,47913,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72,2017-01-01,fr
133,34,Sex,Cheat Codes,46127,https://open.spotify.com/track/5DA77EqppDmCTWGovd4oTP,2017-01-01,fr
134,35,Cold Water (feat. Justin Bieber & MØ),Major Lazer,46064,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-01-01,fr
135,36,Naha,PNL,45800,https://open.spotify.com/track/0lkQfsTMmtDA37tjjew9n0,2017-01-01,fr
136,37,In the Name of Love,Martin Garrix,44289,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-01,fr
137,38,Bazardée,KeBlack,43993,https://open.spotify.com/track/2KiHXiqQA2dHiLfeSxtTeP,2017-01-01,fr
138,39,6.45i,SCH,43304,https://open.spotify.com/track/0myHuhA1FkppaClYHRoxX0,2017-01-01,fr
139,40,Hymn For The Weekend - Seeb Remix,Coldplay,43128,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-01,fr
140,41,Infréquentables,Dosseh,42866,https://open.spotify.com/track/63z6p4gpgnpZprANkpBIHH,2017-01-01,fr
141,42,Perfect Strangers,Jonas Blue,42224,https://open.spotify.com/track/5bZtRlMBU76vHuDOb1GM5u,2017-01-01,fr
142,43,Réalité augmentée,Nekfeu,41939,https://open.spotify.com/track/5jGuAvPX3Ufo55DIZlCaHq,2017-01-01,fr
143,44,On m'appelle l'ovni,Jul,41938,https://open.spotify.com/track/5cbyl4wFM4UYnQGoA0dcAk,2017-01-01,fr
144,45,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,41138,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT,2017-01-01,fr
145,46,Humanoïde,Nekfeu,40763,https://open.spotify.com/track/6YHNKVx7gSsOX7xq6jaqeq,2017-01-01,fr
146,47,Final Song,MØ,38966,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7,2017-01-01,fr
147,48,Treat You Better,Shawn Mendes,38629,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2017-01-01,fr
148,49,Hundred Miles,Yall,38384,https://open.spotify.com/track/5dyDkXi1bnQKSyIdO0JXp8,2017-01-01,fr
149,50,Panda,Desiigner,38195,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h,2017-01-01,fr
150,51,Blow,Kaaris,38150,https://open.spotify.com/track/5GhWx7Hzju2oRyhVY6k9QH,2017-01-01,fr
151,52,Call On Me - Ryan Riback Extended Remix,Starley,37214,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-01,fr
152,53,Fast Car,Jonas Blue,36561,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ,2017-01-01,fr
153,54,Oblah,Gradur,36250,https://open.spotify.com/track/0sqOIwjQoaiEXcSgl8iqsi,2017-01-01,fr
154,55,Avant tu riais,Nekfeu,36208,https://open.spotify.com/track/6AHgVddvpK6wQpifbtInW1,2017-01-01,fr
155,56,Bené,PNL,35639,https://open.spotify.com/track/00X2yv2vrtritPt2CZnUTZ,2017-01-01,fr
156,57,This Is What You Came For,Calvin Harris,35350,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,2017-01-01,fr
157,58,"i hate u, i love u (feat. olivia o'brien)",gnash,35291,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe,2017-01-01,fr
158,59,Galatée,Nekfeu,35124,https://open.spotify.com/track/5kkqEHDSAU5S4TgKQN1l9d,2017-01-01,fr
159,60,Mercy,Shawn Mendes,35019,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2017-01-01,fr
160,61,Dans la légende,PNL,34920,https://open.spotify.com/track/5NZpY9WeWFtlHVgepfCamX,2017-01-01,fr
161,62,Say You Won't Let Go,James Arthur,34863,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-01,fr
162,63,Esquimaux,Nekfeu,34214,https://open.spotify.com/track/2gcZZpnrxbShZPLKiNUVga,2017-01-01,fr
163,64,The Greatest,Sia,34106,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO,2017-01-01,fr
164,65,Chantaje,Shakira,33719,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,fr
165,66,Lean On (feat. MØ & DJ Snake),Major Lazer,33281,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,2017-01-01,fr
166,67,Tout donner - Pilule Violette,Maître Gims,33171,https://open.spotify.com/track/5ASacvNO76BB7Dxtp74qqz,2017-01-01,fr
167,68,All We Know,The Chainsmokers,33067,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-01,fr
168,69,A Kele Nta,MHD,32108,https://open.spotify.com/track/0v9yrgq9lNv5RJ3NPkCxmg,2017-01-01,fr
169,70,Love Me Now,John Legend,31568,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,2017-01-01,fr
170,71,This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016,David Guetta,31521,https://open.spotify.com/track/46NBoIAHrmR7qcUGCIFEjR,2017-01-01,fr
171,72,Elle et l'autre,Jul,31027,https://open.spotify.com/track/783vFwxaUzpGYAOEcGok9w,2017-01-01,fr
172,73,Bailar,Deorro,30443,https://open.spotify.com/track/1A5yplwEk6cJbAL63L6bkp,2017-01-01,fr
173,74,Poussière,Kaaris,30346,https://open.spotify.com/track/4RhPtvcQqowlT2HSc00LxY,2017-01-01,fr
174,75,Nekketsu,Nekfeu,29488,https://open.spotify.com/track/6J4VvZ3pIit9KgFtUDniwm,2017-01-01,fr
175,76,Le regard des gens,Nekfeu,29391,https://open.spotify.com/track/0xH4qR6s5TqdzMKRkloBnh,2017-01-01,fr
176,77,Tuesday,Burak Yeter,29164,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,2017-01-01,fr
177,78,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,28883,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,2017-01-01,fr
178,79,Sapés comme jamais - Pilule bleue,Maître Gims,28833,https://open.spotify.com/track/0CJ31BEjjl1tPIj0CKi9kH,2017-01-01,fr
179,80,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,28789,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD,2017-01-01,fr
180,81,DA,PNL,28779,https://open.spotify.com/track/5UOGzIMvxXyRZIWBbqDcpU,2017-01-01,fr
181,82,Sorry,Justin Bieber,28527,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ,2017-01-01,fr
182,83,Andale (feat. Gradur),Sadek,27150,https://open.spotify.com/track/3zLMWD22TUiKZ3L6FPjiCL,2017-01-01,fr
183,84,Lost on You,LP,26987,https://open.spotify.com/track/3SqvR3HYLlCTYzbDXJ52OC,2017-01-01,fr
184,85,Shed a Light,Robin Schulz,26933,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,2017-01-01,fr
185,86,White Tiger - Single Version,Izzy Bizu,26817,https://open.spotify.com/track/64I0PKLFEKlcvc7fEVUGq0,2017-01-01,fr
186,87,Nador,Kaaris,26569,https://open.spotify.com/track/4jgTc6njkNCMonjSUBz89V,2017-01-01,fr
187,88,DUELE EL CORAZON,Enrique Iglesias,26324,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf,2017-01-01,fr
188,89,Halcyon Birds,Broken Back,26305,https://open.spotify.com/track/1WC2ctyzNjpgkhF0dplias,2017-01-01,fr
189,90,Don't Let Me Down,The Chainsmokers,26217,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,2017-01-01,fr
190,91,Dis-moi que tu m'aimes,Ninho,26209,https://open.spotify.com/track/0u6HzAVFUBiKslzPF9G9vd,2017-01-01,fr
191,92,O.D,Nekfeu,24995,https://open.spotify.com/track/1ka8yYr5OnUrh0k59d7Gfd,2017-01-01,fr
192,93,C'est le son de la gratte,Jul,24932,https://open.spotify.com/track/2E681kTbT2vG47YqQJSQgw,2017-01-01,fr
193,94,Mon Everest - feat. Marina Kaye,Soprano,24755,https://open.spotify.com/track/6iwkDhmdFfXu9RpjXrgFhz,2017-01-01,fr
194,95,Jusqu'au dernier gramme,PNL,24421,https://open.spotify.com/track/2jBleFNl3YK8lyJc1OvxXt,2017-01-01,fr
195,96,Alone,Alan Walker,24359,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,2017-01-01,fr
196,97,Cellophané,Rim'K,23828,https://open.spotify.com/track/2sOrroHqKbYFP2MfHxhQMc,2017-01-01,fr
197,98,Capsize,FRENSHIP,23433,https://open.spotify.com/track/2XMTqoHHSH0lvuXrvIEdco,2017-01-01,fr
198,99,Stressed Out,Twenty One Pilots,23258,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,2017-01-01,fr
199,100,Please Don't Go,Joel Adams,23241,https://open.spotify.com/track/3cNjgVBKTJ1SvKhunrCdVy,2017-01-01,fr
200,1,Chantaje,Shakira,253019,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,ar
201,2,Vente Pa' Ca,Ricky Martin,223988,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2017-01-01,ar
202,3,Reggaetón Lento (Bailemos),CNCO,210943,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-01,ar
203,4,Safari,J Balvin,173865,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-01,ar
